"region","year","rate"
"Одеська область",1994,-4.7
"Полтавська область",1994,-7.6
"Рівненська область",1994,2.1
"Сумська область",1994,-8.1
"Тернопільська область",1994,-1.7
"Харківська область",1994,-7.6
"Херсонська область",1994,-2.7
"Хмельницька область",1994,-4.4
"Черкаська область",1994,-6.7
"Чернівецька область",1994,0.3
"Чернігівська область",1994,-9.9
"м. Київ",1994,-2.7
"м. Севастополь (міськрада)",1994,-4.4
"Автономна Республіка Крим",1995,-5.8
"Вінницька область",1995,-6.7
"Волинська область",1995,-1.1
"Дніпропетровська область",1995,-7.2
"Донецька область",1995,-9.7
"Житомирська область",1995,-4.9
"Закарпатська область",1995,1.8
"Запорізька область",1995,-6.9
"Івано-Франківська область",1995,0.8
"Київська область",1995,-6.9
"Кіровоградська область",1995,-7.7
"Луганська область",1995,-9
"Львівська область",1995,-0.8
"Миколаївська область",1995,-4.9
"Одеська область",1995,-6.1
"Полтавська область",1995,-8.1
"Рівненська область",1995,1
"Сумська область",1995,-8.2
"Тернопільська область",1995,-1.7
"Харківська область",1995,-8.5
"Херсонська область",1995,-4.3
"Хмельницька область",1995,-4.8
"Черкаська область",1995,-7.5
"Чернівецька область",1995,-0.3
"Чернігівська область",1995,-10.7
"м. Київ",1995,-3.5
"м. Севастополь (міськрада)",1995,-6.9
"Автономна Республіка Крим",1996,-5.8
"Вінницька область",1996,-7
"Волинська область",1996,-1
"Дніпропетровська область",1996,-7.8
"Донецька область",1996,-9.8
"Житомирська область",1996,-5.4
"Закарпатська область",1996,1.7
"Запорізька область",1996,-7
"Івано-Франківська область",1996,0.3
"Київська область",1996,-6.9
"Кіровоградська область",1996,-8
"Луганська область",1996,-10.1
"Львівська область",1996,-1.1
"Миколаївська область",1996,-5.5
"Одеська область",1996,-6.1
"Полтавська область",1996,-8.3
"Рівненська область",1996,0.4
"Сумська область",1996,-9.1
"Тернопільська область",1996,-2.4
"Харківська область",1996,-8.3
"Херсонська область",1996,-5
"Хмельницька область",1996,-5.3
"Черкаська область",1996,-8
"Чернівецька область",1996,-0.7
"Чернігівська область",1996,-10.6
"м. Київ",1996,-3.2
"м. Севастополь (міськрада)",1996,-5.6
"Автономна Республіка Крим",1997,-5.1
"Вінницька область",1997,-7
"Волинська область",1997,-1.5
"Дніпропетровська область",1997,-7.9
"Донецька область",1997,-9.6
"Житомирська область",1997,-5.9
"Закарпатська область",1997,1.4
"Запорізька область",1997,-6.9
"Івано-Франківська область",1997,-0.3
"Київська область",1997,-7.2
"Кіровоградська область",1997,-8.5
"Луганська область",1997,-10
"Львівська область",1997,-1.9
"Миколаївська область",1997,-5.6
"Одеська область",1997,-5.8
"Полтавська область",1997,-9.1
"Рівненська область",1997,0.7
"Сумська область",1997,-9.4
"Тернопільська область",1997,-3.3
"Харківська область",1997,-8.4
"Херсонська область",1997,-4.6
"Хмельницька область",1997,-6.2
"Черкаська область",1997,-8.1
"Чернівецька область",1997,-1.1
"Чернігівська область",1997,-10.7
"м. Київ",1997,-2.5
"м. Севастополь (міськрада)",1997,-4.8
"Автономна Республіка Крим",1998,-5.6
"Вінницька область",1998,-7.3
"Волинська область",1998,-1.3
"Дніпропетровська область",1998,-7.4
"Донецька область",1998,-8.7
"Житомирська область",1998,-5.9
"Закарпатська область",1998,1.2
"Запорізька область",1998,-7.2
"Івано-Франківська область",1998,-0.5
"Київська область",1998,-7.6
"Кіровоградська область",1998,-8.3
"Луганська область",1998,-9
"Львівська область",1998,-1.5
"Миколаївська область",1998,-6.4
"Одеська область",1998,-5.8
"Полтавська область",1998,-8.4
"Рівненська область",1998,0.4
"Сумська область",1998,-9.2
"Тернопільська область",1998,-3
"Харківська область",1998,-7.8
"Херсонська область",1998,-5.3
"Хмельницька область",1998,-6
"Черкаська область",1998,-8.3
"Чернівецька область",1998,-0.9
"Чернігівська область",1998,-10.8
"м. Київ",1998,-2.8
"м. Севастополь (міськрада)",1998,-5.5
"Автономна Республіка Крим",1999,-5.5
"Вінницька область",1999,-7.7
"Волинська область",1999,-2.7
"Дніпропетровська область",1999,-8.6
"Донецька область",1999,-9.9
"Житомирська область",1999,-7.3
"Закарпатська область",1999,-0.3
"Запорізька область",1999,-8.1
"Івано-Франківська область",1999,-2
"Київська область",1999,-8.5
"Кіровоградська область",1999,-9.7
"Луганська область",1999,-10.7
"Львівська область",1999,-3.3
"Миколаївська область",1999,-7
"Одеська область",1999,-6.4
"Полтавська область",1999,-9.9
"Рівненська область",1999,-0.7
"Сумська область",1999,-10.3
"Тернопільська область",1999,-4.7
"Харківська область",1999,-8.9
"Херсонська область",1999,-6.3
"Хмельницька область",1999,-6.5
"Черкаська область",1999,-8.8
"Чернівецька область",1999,-2.2
"Чернігівська область",1999,-12.2
"м. Київ",1999,-2.9
"м. Севастополь (міськрада)",1999,-5.6
"Автономна Республіка Крим",2000,-6.6
"Вінницька область",2000,-8.4
"Волинська область",2000,-2.8
"Дніпропетровська область",2000,-9.2
"Донецька область",2000,-10.9
"Житомирська область",2000,-7.5
"Закарпатська область",2000,0.4
"Запорізька область",2000,-8.7
"Івано-Франківська область",2000,-1.8
"Київська область",2000,-8.9
"Кіровоградська область",2000,-10.1
"Луганська область",2000,-11.4
"Львівська область",2000,-3.3
"Миколаївська область",2000,-7.7
"Одеська область",2000,-7.2
"Полтавська область",2000,-10.9
"Рівненська область",2000,-1.3
"Сумська область",2000,-11.1
"Тернопільська область",2000,-4.4
"Харківська область",2000,-9.6
"Херсонська область",2000,-7
"Хмельницька область",2000,-7.1
"Черкаська область",2000,-9.9
"Чернівецька область",2000,-2.4
"Чернігівська область",2000,-12.9
"м. Київ",2000,-2.9
"м. Севастополь (міськрада)",2000,-6.3
"Автономна Республіка Крим",2001,-6.7
"Вінницька область",2001,-8.3
"Волинська область",2001,-3.1
"Дніпропетровська область",2001,-8.8
"Донецька область",2001,-10.3
"Житомирська область",2001,-8.5
"Закарпатська область",2001,-0.4
"Запорізька область",2001,-8.6
"Івано-Франківська область",2001,-2.7
"Київська область",2001,-9.4
"Кіровоградська область",2001,-9.8
"Луганська область",2001,-10.9
"Львівська область",2001,-3.7
"Миколаївська область",2001,-7.5
"Одеська область",2001,-7
"Полтавська область",2001,-11.1
"Рівненська область",2001,-1.6
"Сумська область",2001,-11.2
"Тернопільська область",2001,-5.4
"Харківська область",2001,-9
"Херсонська область",2001,-7.3
"Хмельницька область",2001,-7.7
"Черкаська область",2001,-10
"Чернівецька область",2001,-2.9
"Чернігівська область",2001,-13.1
"м. Київ",2001,-3
"м. Севастополь (міськрада)",2001,-6.1
"Автономна Республіка Крим",2002,-6.7
"Вінницька область",2002,-8.1
"Волинська область",2002,-3
"Дніпропетровська область",2002,-8.6
"Донецька область",2002,-10.6
"Житомирська область",2002,-8.2
"Закарпатська область",2002,-0.6
"Запорізька область",2002,-8.4
"Івано-Франківська область",2002,-2.8
"Київська область",2002,-9
"Кіровоградська область",2002,-10
"Луганська область",2002,-10.6
"Львівська область",2002,-3.8
"Миколаївська область",2002,-8.1
"Одеська область",2002,-7.2
"Полтавська область",2002,-11
"Рівненська область",2002,-1.8
"Сумська область",2002,-11.3
"Тернопільська область",2002,-5.2
"Харківська область",2002,-8.9
"Херсонська область",2002,-7.3
"Хмельницька область",2002,-7.7
"Черкаська область",2002,-10.2
"Чернівецька область",2002,-3.3
"Чернігівська область",2002,-13
"м. Київ",2002,-2.5
"м. Севастополь (міськрада)",2002,-5.6
"Автономна Республіка Крим",2003,-6.5
"Вінницька область",2003,-8.5
"Волинська область",2003,-3.4
"Дніпропетровська область",2003,-8.4
"Донецька область",2003,-10.3
"Житомирська область",2003,-8.5
"Закарпатська область",2003,-0.1
"Запорізька область",2003,-8.4
"Івано-Франківська область",2003,-3.2
"Київська область",2003,-8.9
"Кіровоградська область",2003,-9.9
"Луганська область",2003,-10.7
"Львівська область",2003,-3.8
"Миколаївська область",2003,-7.6
"Одеська область",2003,-7
"Полтавська область",2003,-11.2
"Рівненська область",2003,-1.7
"Сумська область",2003,-11.3
"Тернопільська область",2003,-5.6
"Харківська область",2003,-8.8
"Херсонська область",2003,-6.7
"Хмельницька область",2003,-7.9
"Черкаська область",2003,-9.9
"Чернівецька область",2003,-3.7
"Чернігівська область",2003,-13.2
"м. Київ",2003,-1.9
"м. Севастополь (міськрада)",2003,-5.4
"Автономна Республіка Крим",2004,-6.1
"Вінницька область",2004,-7.9
"Волинська область",2004,-2.6
"Дніпропетровська область",2004,-8.1
"Донецька область",2004,-9.9
"Житомирська область",2004,-8.5
"Закарпатська область",2004,0
"Запорізька область",2004,-7.8
"Івано-Франківська область",2004,-2.2
"Київська область",2004,-8.6
"Кіровоградська область",2004,-9.7
"Луганська область",2004,-10.6
"Львівська область",2004,-3
"Миколаївська область",2004,-7.3
"Одеська область",2004,-6.4
"Полтавська область",2004,-10.9
"Рівненська область",2004,-1.1
"Сумська область",2004,-11.5
"Тернопільська область",2004,-4.5
"Харківська область",2004,-8.4
"Херсонська область",2004,-6.4
"Хмельницька область",2004,-7.4
"Черкаська область",2004,-10.4
"Чернівецька область",2004,-2.5
"Чернігівська область",2004,-13.2
"м. Київ",2004,-0.9
"м. Севастополь (міськрада)",2004,-4.8
"Автономна Республіка Крим",2005,-6.7
"Вінницька область",2005,-9.2
"Волинська область",2005,-3.2
"Дніпропетровська область",2005,-9
"Донецька область",2005,-10.3
"Житомирська область",2005,-9
"Закарпатська область",2005,-0.6
"Запорізька область",2005,-8
"Івано-Франківська область",2005,-2.7
"Київська область",2005,-9
"Кіровоградська область",2005,-10.5
"Луганська область",2005,-10.9
"Львівська область",2005,-3.6
"Миколаївська область",2005,-7.7
"Одеська область",2005,-6.7
"Полтавська область",2005,-11.2
"Рівненська область",2005,-1.7
"Сумська область",2005,-12.1
"Тернопільська область",2005,-5.2
"Харківська область",2005,-8.6
"Херсонська область",2005,-7.2
"Хмельницька область",2005,-8.4
"Черкаська область",2005,-10.9
"Чернівецька область",2005,-3.2
"Чернігівська область",2005,-14.1
"м. Київ",2005,-1.4
"м. Севастополь (міськрада)",2005,-5.8
"Автономна Республіка Крим",2006,-5.3
"Вінницька область",2006,-7.7
"Волинська область",2006,-1.8
"Дніпропетровська область",2006,-7.5
"Донецька область",2006,-9.2
"Житомирська область",2006,-8
"Закарпатська область",2006,0.5
"Запорізька область",2006,-7.2
"Івано-Франківська область",2006,-1.9
"Київська область",2006,-8
"Кіровоградська область",2006,-8.8
"Луганська область",2006,-9.5
"Львівська область",2006,-2.9
"Миколаївська область",2006,-6.2
"Одеська область",2006,-5.8
"Полтавська область",2006,-9.3
"Рівненська область",2006,-0.3
"Сумська область",2006,-10.1
"Тернопільська область",2006,-4.4
"Харківська область",2006,-7.6
"Херсонська область",2006,-5.7
"Хмельницька область",2006,-7.3
"Черкаська область",2006,-9.4
"Чернівецька область",2006,-2.3
"Чернігівська область",2006,-13
"м. Київ",2006,-0.7
"м. Севастополь (міськрада)",2006,-5
"Автономна Республіка Крим",2007,-4.8
"Вінницька область",2007,-7.5
"Волинська область",2007,-1.4
"Дніпропетровська область",2007,-7.4
"Донецька область",2007,-9.1
"Житомирська область",2007,-7.6
"Закарпатська область",2007,0.2
"Запорізька область",2007,-7.1
"Івано-Франківська область",2007,-1.9
"Київська область",2007,-7.6
"Кіровоградська область",2007,-8.8
"Луганська область",2007,-9.1
"Львівська область",2007,-2.9
"Миколаївська область",2007,-6.4
"Одеська область",2007,-5
"Полтавська область",2007,-9.8
"Рівненська область",2007,-0.3
"Сумська область",2007,-10.2
"Тернопільська область",2007,-4.5
"Харківська область",2007,-7.2
"Херсонська область",2007,-5.9
"Хмельницька область",2007,-6.9
"Черкаська область",2007,-9.3
"Чернівецька область",2007,-2.6
"Чернігівська область",2007,-13.1
"м. Київ",2007,-1
"м. Севастополь (міськрада)",2007,-5
"Автономна Республіка Крим",2008,-3.7
"Вінницька область",2008,-6.3
"Волинська область",2008,-0.2
"Дніпропетровська область",2008,-6.7
"Донецька область",2008,-8.3
"Житомирська область",2008,-7
"Закарпатська область",2008,1.7
"Запорізька область",2008,-6.2
"Івано-Франківська область",2008,-1
"Київська область",2008,-6.2
"Кіровоградська область",2008,-8.4
"Луганська область",2008,-8.5
"Львівська область",2008,-2.4
"Миколаївська область",2008,-5.4
"Одеська область",2008,-3.9
"Полтавська область",2008,-8.7
"Рівненська область",2008,0.7
"Сумська область",2008,-9.6
"Тернопільська область",2008,-3.5
"Харківська область",2008,-6.4
"Херсонська область",2008,-5
"Хмельницька область",2008,-6
"Черкаська область",2008,-8.4
"Чернівецька область",2008,-1.3
"Чернігівська область",2008,-12.2
"м. Київ",2008,0.7
"м. Севастополь (міськрада)",2008,-4.6
"Автономна Республіка Крим",2009,-2.5
"Вінницька область",2009,-5.3
"Волинська область",2009,0.7
"Дніпропетровська область",2009,-5.2
"Донецька область",2009,-7.1
"Житомирська область",2009,-5.3
"Закарпатська область",2009,2.1
"Запорізька область",2009,-5.4
"Івано-Франківська область",2009,-0.1
"Київська область",2009,-4.7
"Кіровоградська область",2009,-6.7
"Луганська область",2009,-7.6
"Львівська область",2009,-1.1
"Миколаївська область",2009,-4.7
"Одеська область",2009,-2.9
"Полтавська область",2009,-8
"Рівненська область",2009,1.8
"Сумська область",2009,-8.9
"Тернопільська область",2009,-2.9
"Харківська область",2009,-5.5
"Херсонська область",2009,-4.2
"Хмельницька область",2009,-5.3
"Черкаська область",2009,-7.2
"Чернівецька область",2009,-0.7
"Чернігівська область",2009,-10.5
"м. Київ",2009,1.5
"м. Севастополь (міськрада)",2009,-3.3
"Автономна Республіка Крим",2010,-2.7
"Вінницька область",2010,-5.5
"Волинська область",2010,0.4
"Дніпропетровська область",2010,-5.7
"Донецька область",2010,-7.3
"Житомирська область",2010,-5.2
"Закарпатська область",2010,2.7
"Запорізька область",2010,-5.8
"Івано-Франківська область",2010,-0.9
"Київська область",2010,-5
"Кіровоградська область",2010,-7
"Луганська область",2010,-7.8
"Львівська область",2010,-1.6
"Миколаївська область",2010,-5
"Одеська область",2010,-3.1
"Полтавська область",2010,-8
"Рівненська область",2010,1.8
"Сумська область",2010,-8.4
"Тернопільська область",2010,-3.5
"Харківська область",2010,-5.7
"Херсонська область",2010,-3.7
"Хмельницька область",2010,-4.9
"Черкаська область",2010,-7.2
"Чернівецька область",2010,-0.8
"Чернігівська область",2010,-10.5
"м. Київ",2010,1.2
"м. Севастополь (міськрада)",2010,-3.7
"Автономна Республіка Крим",2011,-2.1
"Вінницька область",2011,-4.6
"Волинська область",2011,0.8
"Дніпропетровська область",2011,-4.8
"Донецька область",2011,-6.7
"Житомирська область",2011,-4.1
"Закарпатська область",2011,3.1
"Запорізька область",2011,-4.9
"Івано-Франківська область",2011,-0.1
"Київська область",2011,-3.9
"Кіровоградська область",2011,-6.1
"Луганська область",2011,-7
"Львівська область",2011,-0.9
"Миколаївська область",2011,-3.8
"Одеська область",2011,-1.9
"Полтавська область",2011,-6.8
"Рівненська область",2011,3
"Сумська область",2011,-7.2
"Тернопільська область",2011,-2.6
"Харківська область",2011,-5
"Херсонська область",2011,-3.5
"Хмельницька область",2011,-4.3
"Черкаська область",2011,-6.6
"Чернівецька область",2011,0.1
"Чернігівська область",2011,-9.2
"м. Київ",2011,1.8
"м. Севастополь (міськрада)",2011,-2.9
"Автономна Республіка Крим",2012,-1.1
"Вінницька область",2012,-4.2
"Волинська область",2012,1.6
"Дніпропетровська область",2012,-4.3
"Донецька область",2012,-6.3
"Житомирська область",2012,-4.1
"Закарпатська область",2012,3.3
"Запорізька область",2012,-4.2
"Івано-Франківська область",2012,0.2
"Київська область",2012,-3.6
"Кіровоградська область",2012,-5.5
"Луганська область",2012,-6.4
"Львівська область",2012,-0.6
"Миколаївська область",2012,-3.2
"Одеська область",2012,-1.4
"Полтавська область",2012,-6.6
"Рівненська область",2012,3.5
"Сумська область",2012,-6.9
"Тернопільська область",2012,-2.5
"Харківська область",2012,-4.7
"Херсонська область",2012,-3
"Хмельницька область",2012,-4.2
"Черкаська область",2012,-6.1
"Чернівецька область",2012,0.3
"Чернігівська область",2012,-9.3
"м. Київ",2012,2.2
"м. Севастополь (міськрада)",2012,-1.7
"Автономна Республіка Крим",2013,-1.5
"Вінницька область",2013,-5
"Волинська область",2013,1
"Дніпропетровська область",2013,-4.6
"Донецька область",2013,-6.5
"Житомирська область",2013,-4.6
"Закарпатська область",2013,2.9
"Запорізька область",2013,-4.7
"Івано-Франківська область",2013,-0.5
"Київська область",2013,-3.9
"Кіровоградська область",2013,-6
"Луганська область",2013,-6.8
"Львівська область",2013,-0.9
"Миколаївська область",2013,-3.7
"Одеська область",2013,-1.9
"Полтавська область",2013,-6.8
"Рівненська область",2013,2.5
"Сумська область",2013,-7.8
"Тернопільська область",2013,-2.7
"Харківська область",2013,-4.7
"Херсонська область",2013,-3.5
"Хмельницька область",2013,-4.6
"Черкаська область",2013,-6.6
"Чернівецька область",2013,-0.1
"Чернігівська область",2013,-9.4
"м. Київ",2013,1.9
"м. Севастополь (міськрада)",2013,-2.2
"Автономна Республіка Крим",2014,NA
"Вінницька область",2014,-4.9
"Волинська область",2014,0.9
"Дніпропетровська область",2014,-5
"Донецька область",2014,NA
"Житомирська область",2014,-4.8
"Закарпатська область",2014,2.8
"Запорізька область",2014,-5.1
"Івано-Франківська область",2014,-0.6
"Київська область",2014,-4.3
"Кіровоградська область",2014,-6.3
"Луганська область",2014,NA
"Львівська область",2014,-0.9
"Миколаївська область",2014,-4
"Одеська область",2014,-2
"Полтавська область",2014,-7.1
"Рівненська область",2014,2.1
"Сумська область",2014,-8
"Тернопільська область",2014,-3.3
"Харківська область",2014,-5.2
"Херсонська область",2014,-3.6
"Хмельницька область",2014,-4.4
"Черкаська область",2014,-6.8
"Чернівецька область",2014,0
"Чернігівська область",2014,-10.2
"м. Київ",2014,1.7
"м. Севастополь (міськрада)",2014,NA
"Автономна Республіка Крим",2015,NA
"Вінницька область",2015,-5.7
"Волинська область",2015,-0.4
"Дніпропетровська область",2015,-6.3
"Донецька область",2015,NA
"Житомирська область",2015,-5.7
"Закарпатська область",2015,1
"Запорізька область",2015,-6.5
"Івано-Франківська область",2015,-1.5
"Київська область",2015,-4.7
"Кіровоградська область",2015,-6.9
"Луганська область",2015,NA
"Львівська область",2015,-2
"Миколаївська область",2015,-5.5
"Одеська область",2015,-2.9
"Полтавська область",2015,-7.7
"Рівненська область",2015,1.2
"Сумська область",2015,-8.2
"Тернопільська область",2015,-4.2
"Харківська область",2015,-6.4
"Херсонська область",2015,-4.9
"Хмельницька область",2015,-5.2
"Черкаська область",2015,-7
"Чернівецька область",2015,-1.2
"Чернігівська область",2015,-10.3
"м. Київ",2015,1.8
"м. Севастополь (міськрада)",2015,NA
"Автономна Республіка Крим",2016,NA
"Вінницька область",2016,-5.8
"Волинська область",2016,-0.5
"Дніпропетровська область",2016,-6.8
"Донецька область",2016,NA
"Житомирська область",2016,-5.8
"Закарпатська область",2016,0.5
"Запорізька область",2016,-7.1
"Івано-Франківська область",2016,-1.9
"Київська область",2016,-5.3
"Кіровоградська область",2016,-7.7
"Луганська область",2016,NA
"Львівська область",2016,-2
"Миколаївська область",2016,-5.8
"Одеська область",2016,-3
"Полтавська область",2016,-8.4
"Рівненська область",2016,1
"Сумська область",2016,-8.9
"Тернопільська область",2016,-4.7
"Харківська область",2016,-6.7
"Херсонська область",2016,-5.3
"Хмельницька область",2016,-5.6
"Черкаська область",2016,-7.8
"Чернівецька область",2016,-1.5
"Чернігівська область",2016,-10.3
"м. Київ",2016,2
"м. Севастополь (міськрада)",2016,NA
